SK_ID_CURR,TARGET
369780,0
405321,0
142233,0
423634,0
271981,0
150748,0
380474,0
416270,0
344730,0
203050,0
134561,1
120952,1
184633,0
386594,0
205282,1
285237,0
220109,1
119647,0
158279,0
207390,0
443463,0
292548,0
368049,0
114238,0
442415,0
421469,0
236780,0
424066,0
111556,0
286092,0
120657,0
195799,0
361222,0
325040,0
284102,0
159897,0
378516,0
424503,0
382919,0
438502,0
154762,0
123258,0
316627,0
134391,0
248703,0
196939,0
196513,0
210863,1
138523,0
348642,0
260327,0
239803,0
387023,0
220737,0
392245,0
338299,1
347353,0
129426,1
257694,0
450086,0
333937,0
138400,0
217450,0
114666,0
124477,0
226744,0
385915,0
140623,0
143312,0
185990,0
342478,0
112205,0
391797,0
189277,0
381102,0
419728,1
154621,0
434335,0
430775,0
184461,0
112836,0
430776,0
326460,0
346102,0
242969,0
125751,0
311860,0
189405,0
102143,0
232524,0
138839,1
213241,0
446235,0
139605,1
238865,0
110397,0
356361,0
122624,0
442592,0
156281,0
340543,0
308302,0
172233,0
253797,0
370870,0
140578,0
151772,1
366080,0
200091,0
101538,1
311687,0
240392,0
203275,0
352332,0
252725,0
217879,1
388335,0
153624,0
388167,0
350148,0
123690,0
125862,0
351090,0
426249,0
393191,0
438021,0
341889,0
222893,0
185122,1
158304,0
101475,0
354170,0
241255,0
447513,0
204530,0
329550,0
370947,0
140713,1
313705,0
148125,0
340677,0
140773,0
237791,0
332804,1
414416,0
309907,0
175336,0
284823,0
437079,0
449234,0
441769,0
286898,0
439499,0
124985,0
410818,0
235848,0
261279,0
412867,0
195470,0
330875,0
271683,0
252821,0
196719,0
371774,0
443231,0
352111,0
313499,0
408426,0
314123,0
280523,0
429006,0
120568,0
440779,0
137460,0
293288,0
140667,1
337397,0
298399,0
130536,0
403079,0
190657,0
191632,1
238897,0
387092,0
263601,0
378382,0
317088,0
451373,0
411585,0
263566,0
216181,0
221902,0
147555,0
250602,0
224595,0
370194,0
271191,0
446571,0
314436,0
296875,0
146780,1
312774,0
216426,0
253199,0
133141,0
187491,0
449879,0
294350,0
266979,0
375665,0
302417,0
243451,0
245704,0
434299,0
275144,0
194237,0
176706,0
311927,0
121338,0
149450,0
259859,0
304068,0
283800,0
356366,1
454010,0
362842,0
164192,0
361808,0
184556,1
346576,0
245338,0
179350,0
290439,0
175173,0
353611,0
230643,0
340169,0
342607,0
348279,0
453794,0
181361,0
403531,0
226761,0
225280,0
162283,0
216573,0
134452,0
274647,0
364462,0
350465,0
270484,0
100329,0
402186,0
391674,0
413291,0
203086,0
168300,0
167766,0
400181,0
258727,0
334079,1
429544,0
164186,0
416186,0
291122,0
305496,0
434591,0
308720,0
174499,0
315184,0
430523,0
177303,0
342790,0
138242,1
200612,0
397559,0
163722,0
279995,0
267371,0
188162,0
401641,0
172360,0
346787,0
156769,0
307425,0
412870,0
270669,0
102992,0
338371,0
290544,1
236598,0
181414,0
352347,0
323611,0
419814,0
438042,0
303280,0
295424,0
137905,0
337875,0
149470,0
128839,0
239228,0
190213,1
380917,0
413246,0
193334,0
279237,0
153814,0
205729,0
128086,0
121056,0
411155,0
